n_equipos,exec_time,n_iters,solver,statuses
4,0.12002706527709961,0,CBC,2
5,1379.310180425644,1659357,CBC,6
6,1408.9692504405975,1217358,CBC,1
7,1377.6038267612457,993778,CBC,6
8,1572.1528627872467,405914,CBC,6
9,1486.6088783740997,149394,CBC,6
10,1352.1175034046173,0,CBC,6
4,2.4815351963043213,708,SCIP,2
5,32.1174693107605,71317,SCIP,2
6,331.30074882507324,440760,SCIP,0
7,1379.7177953720093,1603230,SCIP,6
8,1379.808792591095,1282817,SCIP,6
9,1318.0111305713654,862606,SCIP,6
10,1251.541174173355,630420,SCIP,6
4,2.641737699508667,0,SAT,2
5,11.405596494674683,0,SAT,2
6,270.3175823688507,0,SAT,0
7,1383.0468649864197,0,SAT,1
8,1383.8299596309662,0,SAT,1
9,1385.9014599323273,0,SAT,1
10,1389.708134651184,0,SAT,1
4,2.78965425491333,0,CP-SAT,2
5,11.761632919311523,0,CP-SAT,2
6,172.73359203338623,0,CP-SAT,0
7,1383.1780586242676,0,CP-SAT,1
8,1384.191665649414,0,CP-SAT,1
9,1386.79159450531,0,CP-SAT,1
10,1390.079269170761,0,CP-SAT,1
