,Fecha,Día
1,16-08-2022,Tuesday
2,17-08-2022,Wednesday
3,19-08-2022,Friday
4,20-08-2022,Saturday
5,21-08-2022,Sunday
6,23-08-2022,Tuesday
7,24-08-2022,Wednesday
8,26-08-2022,Friday
9,27-08-2022,Saturday
10,28-08-2022,Sunday
11,30-08-2022,Tuesday
12,31-08-2022,Wednesday
13,02-09-2022,Friday
14,03-09-2022,Saturday
15,04-09-2022,Sunday
16,09-09-2022,Friday
17,10-09-2022,Saturday
18,11-09-2022,Sunday
19,16-09-2022,Friday
20,17-09-2022,Saturday
21,18-09-2022,Sunday
22,20-09-2022,Tuesday
23,21-09-2022,Wednesday
24,23-09-2022,Friday
25,24-09-2022,Saturday
26,25-09-2022,Sunday
27,27-09-2022,Tuesday
28,28-09-2022,Wednesday
29,30-09-2022,Friday
30,01-10-2022,Saturday
31,02-10-2022,Sunday
32,07-10-2022,Friday
33,08-10-2022,Saturday
34,09-10-2022,Sunday
35,14-10-2022,Friday
36,15-10-2022,Saturday
37,16-10-2022,Sunday
38,18-10-2022,Tuesday
39,19-10-2022,Wednesday
40,21-10-2022,Friday
41,22-10-2022,Saturday
42,23-10-2022,Sunday
43,28-10-2022,Friday
44,29-10-2022,Saturday
45,30-10-2022,Sunday
46,04-11-2022,Friday
47,05-11-2022,Saturday
48,06-11-2022,Sunday
49,08-11-2022,Tuesday
50,09-11-2022,Wednesday
51,20-12-2022,Tuesday
52,21-12-2022,Wednesday
53,27-12-2022,Tuesday
54,28-12-2022,Wednesday
55,03-01-2023,Tuesday
56,04-01-2023,Wednesday
57,06-01-2023,Friday
58,07-01-2023,Saturday
59,08-01-2023,Sunday
60,10-01-2023,Tuesday
61,11-01-2023,Wednesday
62,13-01-2023,Friday
63,14-01-2023,Saturday
64,15-01-2023,Sunday
65,17-01-2023,Tuesday
66,18-01-2023,Wednesday
67,20-01-2023,Friday
68,21-01-2023,Saturday
69,22-01-2023,Sunday
70,24-01-2023,Tuesday
71,25-01-2023,Wednesday
72,27-01-2023,Friday
73,28-01-2023,Saturday
74,29-01-2023,Sunday
75,31-01-2023,Tuesday
76,01-02-2023,Wednesday
77,03-02-2023,Friday
78,04-02-2023,Saturday
79,05-02-2023,Sunday
80,07-02-2023,Tuesday
81,08-02-2023,Wednesday
82,10-02-2023,Friday
83,11-02-2023,Saturday
84,12-02-2023,Sunday
85,17-02-2023,Friday
86,18-02-2023,Saturday
87,19-02-2023,Sunday
88,24-02-2023,Friday
89,25-02-2023,Saturday
90,26-02-2023,Sunday
91,28-02-2023,Tuesday
92,01-03-2023,Wednesday
93,03-03-2023,Friday
94,04-03-2023,Saturday
95,05-03-2023,Sunday
96,10-03-2023,Friday
97,11-03-2023,Saturday
98,12-03-2023,Sunday
99,17-03-2023,Friday
100,18-03-2023,Saturday
101,19-03-2023,Sunday
102,21-03-2023,Tuesday
103,22-03-2023,Wednesday
104,24-03-2023,Friday
105,25-03-2023,Saturday
106,26-03-2023,Sunday
107,28-03-2023,Tuesday
108,29-03-2023,Wednesday
109,31-03-2023,Friday
110,01-04-2023,Saturday
111,02-04-2023,Sunday
112,04-04-2023,Tuesday
113,05-04-2023,Wednesday
114,14-04-2023,Friday
115,15-04-2023,Saturday
116,16-04-2023,Sunday
117,21-04-2023,Friday
118,22-04-2023,Saturday
119,23-04-2023,Sunday
120,25-04-2023,Tuesday
121,26-04-2023,Wednesday
122,28-04-2023,Friday
123,29-04-2023,Saturday
124,30-04-2023,Sunday
125,02-05-2023,Tuesday
126,03-05-2023,Wednesday
127,05-05-2023,Friday
128,06-05-2023,Saturday
129,07-05-2023,Sunday
130,12-05-2023,Friday
131,13-05-2023,Saturday
132,14-05-2023,Sunday
133,19-05-2023,Friday
134,20-05-2023,Saturday
135,21-05-2023,Sunday
136,23-05-2023,Tuesday
137,24-05-2023,Wednesday
138,26-05-2023,Friday
139,27-05-2023,Saturday
140,28-05-2023,Sunday
141,02-06-2023,Friday
142,03-06-2023,Saturday
143,04-06-2023,Sunday
144,06-06-2023,Tuesday
145,07-06-2023,Wednesday
